dataset,question_type,method,source,n,mean_gold_token_recall
fdarxbench,fda_factual,bm25,drugchat_chembl,578,0.000288
fdarxbench,fda_factual,bm25,drugchat_pubchem,578,0.002764
fdarxbench,fda_factual,bm25,fdarxbench_label,578,0.892072
fdarxbench,fda_factual,bm25,primekg,578,0.01307
fdarxbench,fda_factual,hybrid,drugchat_chembl,578,0.0
fdarxbench,fda_factual,hybrid,drugchat_pubchem,578,0.001702
fdarxbench,fda_factual,hybrid,fdarxbench_label,578,0.895855
fdarxbench,fda_factual,hybrid,primekg,578,0.018336
fdarxbench,fda_factual,kg,drugchat_chembl,578,0.0
fdarxbench,fda_factual,kg,drugchat_pubchem,578,0.0
fdarxbench,fda_factual,kg,fdarxbench_label,578,0.901285
fdarxbench,fda_factual,kg,primekg,578,0.02985
fdarxbench,fda_factual,skill_hybrid,drugchat_chembl,578,0.0
fdarxbench,fda_factual,skill_hybrid,drugchat_pubchem,578,0.0
fdarxbench,fda_factual,skill_hybrid,fdarxbench_label,578,0.903599
fdarxbench,fda_factual,skill_hybrid,primekg,578,0.000865
fdarxbench,fda_factual,skill_schema_v1,drugchat_chembl,578,0.0
fdarxbench,fda_factual,skill_schema_v1,drugchat_pubchem,578,0.0
fdarxbench,fda_factual,skill_schema_v1,fdarxbench_label,578,0.864405
fdarxbench,fda_factual,skill_schema_v1,primekg,578,0.0
fdarxbench,fda_multihop,bm25,drugchat_chembl,204,0.0
fdarxbench,fda_multihop,bm25,drugchat_pubchem,204,0.005446
fdarxbench,fda_multihop,bm25,fdarxbench_label,204,0.80624
fdarxbench,fda_multihop,bm25,primekg,204,0.004504
fdarxbench,fda_multihop,hybrid,drugchat_chembl,204,0.0
fdarxbench,fda_multihop,hybrid,drugchat_pubchem,204,0.00244
fdarxbench,fda_multihop,hybrid,fdarxbench_label,204,0.806704
fdarxbench,fda_multihop,hybrid,primekg,204,0.004812
fdarxbench,fda_multihop,kg,drugchat_chembl,204,0.0
fdarxbench,fda_multihop,kg,drugchat_pubchem,204,0.0
fdarxbench,fda_multihop,kg,fdarxbench_label,204,0.81218
fdarxbench,fda_multihop,kg,primekg,204,0.016595
fdarxbench,fda_multihop,skill_hybrid,drugchat_chembl,204,0.0
fdarxbench,fda_multihop,skill_hybrid,drugchat_pubchem,204,0.0
fdarxbench,fda_multihop,skill_hybrid,fdarxbench_label,204,0.806972
fdarxbench,fda_multihop,skill_hybrid,primekg,204,0.0
fdarxbench,fda_multihop,skill_schema_v1,drugchat_chembl,204,0.0
fdarxbench,fda_multihop,skill_schema_v1,drugchat_pubchem,204,0.0
fdarxbench,fda_multihop,skill_schema_v1,fdarxbench_label,204,0.780651
fdarxbench,fda_multihop,skill_schema_v1,primekg,204,0.0
fdarxbench,fda_refusal,bm25,drugchat_chembl,218,0.0
fdarxbench,fda_refusal,bm25,drugchat_pubchem,218,0.003058
fdarxbench,fda_refusal,bm25,fdarxbench_label,218,0.262997
fdarxbench,fda_refusal,bm25,primekg,218,0.0
fdarxbench,fda_refusal,hybrid,drugchat_chembl,218,0.0
fdarxbench,fda_refusal,hybrid,drugchat_pubchem,218,0.003058
fdarxbench,fda_refusal,hybrid,fdarxbench_label,218,0.270642
fdarxbench,fda_refusal,hybrid,primekg,218,0.0
fdarxbench,fda_refusal,kg,drugchat_chembl,218,0.0
fdarxbench,fda_refusal,kg,drugchat_pubchem,218,0.0
fdarxbench,fda_refusal,kg,fdarxbench_label,218,0.214067
fdarxbench,fda_refusal,kg,primekg,218,0.0
fdarxbench,fda_refusal,skill_hybrid,drugchat_chembl,218,0.0
fdarxbench,fda_refusal,skill_hybrid,drugchat_pubchem,218,0.0
fdarxbench,fda_refusal,skill_hybrid,fdarxbench_label,218,0.344037
fdarxbench,fda_refusal,skill_hybrid,primekg,218,0.0
fdarxbench,fda_refusal,skill_schema_v1,drugchat_chembl,218,0.0
fdarxbench,fda_refusal,skill_schema_v1,drugchat_pubchem,218,0.0
fdarxbench,fda_refusal,skill_schema_v1,fdarxbench_label,218,0.159021
fdarxbench,fda_refusal,skill_schema_v1,primekg,218,0.0
mol_instructions,biomedical_open_qa,bm25,drugchat_chembl,250,0.012381
mol_instructions,biomedical_open_qa,bm25,drugchat_pubchem,250,0.115965
mol_instructions,biomedical_open_qa,bm25,fdarxbench_label,250,0.076228
mol_instructions,biomedical_open_qa,bm25,primekg,250,0.064577
mol_instructions,biomedical_open_qa,hybrid,drugchat_chembl,250,0.012381
mol_instructions,biomedical_open_qa,hybrid,drugchat_pubchem,250,0.114874
mol_instructions,biomedical_open_qa,hybrid,fdarxbench_label,250,0.076228
mol_instructions,biomedical_open_qa,hybrid,primekg,250,0.064577
mol_instructions,biomedical_open_qa,kg,drugchat_chembl,250,0.0
mol_instructions,biomedical_open_qa,kg,drugchat_pubchem,250,0.0
mol_instructions,biomedical_open_qa,kg,fdarxbench_label,250,0.0
mol_instructions,biomedical_open_qa,kg,primekg,250,0.0
mol_instructions,biomedical_open_qa,skill_hybrid,drugchat_chembl,250,0.027017
mol_instructions,biomedical_open_qa,skill_hybrid,drugchat_pubchem,250,0.149896
mol_instructions,biomedical_open_qa,skill_hybrid,fdarxbench_label,250,0.086734
mol_instructions,biomedical_open_qa,skill_hybrid,primekg,250,0.024589
mol_instructions,biomedical_open_qa,skill_schema_v1,drugchat_chembl,250,0.009523
mol_instructions,biomedical_open_qa,skill_schema_v1,drugchat_pubchem,250,0.098765
mol_instructions,biomedical_open_qa,skill_schema_v1,fdarxbench_label,250,0.008762
mol_instructions,biomedical_open_qa,skill_schema_v1,primekg,250,0.043477
mol_instructions,molecule_description,bm25,drugchat_chembl,250,0.0
mol_instructions,molecule_description,bm25,drugchat_pubchem,250,0.036601
mol_instructions,molecule_description,bm25,fdarxbench_label,250,0.001506
mol_instructions,molecule_description,bm25,primekg,250,0.0
mol_instructions,molecule_description,hybrid,drugchat_chembl,250,0.0
mol_instructions,molecule_description,hybrid,drugchat_pubchem,250,0.00596
mol_instructions,molecule_description,hybrid,fdarxbench_label,250,0.000941
mol_instructions,molecule_description,hybrid,primekg,250,0.0
mol_instructions,molecule_description,kg,drugchat_chembl,250,0.0
mol_instructions,molecule_description,kg,drugchat_pubchem,250,0.0
mol_instructions,molecule_description,kg,fdarxbench_label,250,0.0
mol_instructions,molecule_description,kg,primekg,250,0.0
mol_instructions,molecule_description,skill_hybrid,drugchat_chembl,250,0.03102
mol_instructions,molecule_description,skill_hybrid,drugchat_pubchem,250,0.047783
mol_instructions,molecule_description,skill_hybrid,fdarxbench_label,250,0.0
mol_instructions,molecule_description,skill_hybrid,primekg,250,0.0
mol_instructions,molecule_description,skill_schema_v1,drugchat_chembl,250,0.0
mol_instructions,molecule_description,skill_schema_v1,drugchat_pubchem,250,0.076428
mol_instructions,molecule_description,skill_schema_v1,fdarxbench_label,250,0.0
mol_instructions,molecule_description,skill_schema_v1,primekg,250,0.0
mol_instructions,molecule_design,bm25,drugchat_chembl,250,0.0
mol_instructions,molecule_design,bm25,drugchat_pubchem,250,0.0
mol_instructions,molecule_design,bm25,fdarxbench_label,250,0.0
mol_instructions,molecule_design,bm25,primekg,250,0.0
mol_instructions,molecule_design,hybrid,drugchat_chembl,250,0.0
mol_instructions,molecule_design,hybrid,drugchat_pubchem,250,0.0
mol_instructions,molecule_design,hybrid,fdarxbench_label,250,0.0
mol_instructions,molecule_design,hybrid,primekg,250,0.0
