model,dataset,question_type,method,partition,n,utility
llama3_2_3b,fdarxbench,fda_factual,bm25,discovery,301,0.757234
llama3_2_3b,fdarxbench,fda_factual,bm25,evaluation,277,0.75229
llama3_2_3b,fdarxbench,fda_factual,dense_bge,discovery,301,0.733924
llama3_2_3b,fdarxbench,fda_factual,dense_bge,evaluation,277,0.748972
llama3_2_3b,fdarxbench,fda_factual,dense_medcpt,discovery,301,0.743661
llama3_2_3b,fdarxbench,fda_factual,dense_medcpt,evaluation,277,0.752958
llama3_2_3b,fdarxbench,fda_factual,hybrid,discovery,301,0.754004
llama3_2_3b,fdarxbench,fda_factual,hybrid,evaluation,277,0.754482
llama3_2_3b,fdarxbench,fda_factual,kg,discovery,301,0.742447
llama3_2_3b,fdarxbench,fda_factual,kg,evaluation,277,0.754138
llama3_2_3b,fdarxbench,fda_factual,rerank,discovery,301,0.743512
llama3_2_3b,fdarxbench,fda_factual,rerank,evaluation,277,0.745055
llama3_2_3b,fdarxbench,fda_factual,rrf,discovery,301,0.756079
llama3_2_3b,fdarxbench,fda_factual,rrf,evaluation,277,0.749134
llama3_2_3b,fdarxbench,fda_multihop,bm25,discovery,99,0.617288
llama3_2_3b,fdarxbench,fda_multihop,bm25,evaluation,105,0.617346
llama3_2_3b,fdarxbench,fda_multihop,dense_bge,discovery,99,0.627364
llama3_2_3b,fdarxbench,fda_multihop,dense_bge,evaluation,105,0.633726
llama3_2_3b,fdarxbench,fda_multihop,dense_medcpt,discovery,99,0.631479
llama3_2_3b,fdarxbench,fda_multihop,dense_medcpt,evaluation,105,0.615198
llama3_2_3b,fdarxbench,fda_multihop,hybrid,discovery,99,0.626299
llama3_2_3b,fdarxbench,fda_multihop,hybrid,evaluation,105,0.638575
llama3_2_3b,fdarxbench,fda_multihop,kg,discovery,99,0.628493
llama3_2_3b,fdarxbench,fda_multihop,kg,evaluation,105,0.642602
llama3_2_3b,fdarxbench,fda_multihop,rerank,discovery,99,0.623206
llama3_2_3b,fdarxbench,fda_multihop,rerank,evaluation,105,0.628999
llama3_2_3b,fdarxbench,fda_multihop,rrf,discovery,99,0.638254
llama3_2_3b,fdarxbench,fda_multihop,rrf,evaluation,105,0.63903
llama3_2_3b,fdarxbench,fda_refusal,bm25,discovery,117,1.0
llama3_2_3b,fdarxbench,fda_refusal,bm25,evaluation,101,1.0
llama3_2_3b,fdarxbench,fda_refusal,dense_bge,discovery,117,1.0
llama3_2_3b,fdarxbench,fda_refusal,dense_bge,evaluation,101,1.0
llama3_2_3b,fdarxbench,fda_refusal,dense_medcpt,discovery,117,1.0
llama3_2_3b,fdarxbench,fda_refusal,dense_medcpt,evaluation,101,1.0
llama3_2_3b,fdarxbench,fda_refusal,hybrid,discovery,117,1.0
llama3_2_3b,fdarxbench,fda_refusal,hybrid,evaluation,101,1.0
llama3_2_3b,fdarxbench,fda_refusal,kg,discovery,117,1.0
llama3_2_3b,fdarxbench,fda_refusal,kg,evaluation,101,1.0
llama3_2_3b,fdarxbench,fda_refusal,rerank,discovery,117,1.0
llama3_2_3b,fdarxbench,fda_refusal,rerank,evaluation,101,1.0
llama3_2_3b,fdarxbench,fda_refusal,rrf,discovery,117,1.0
llama3_2_3b,fdarxbench,fda_refusal,rrf,evaluation,101,1.0
llama3_2_3b,mol_instructions,biomedical_open_qa,bm25,discovery,132,0.42848
llama3_2_3b,mol_instructions,biomedical_open_qa,bm25,evaluation,118,0.441031
llama3_2_3b,mol_instructions,biomedical_open_qa,dense_bge,discovery,132,0.420563
llama3_2_3b,mol_instructions,biomedical_open_qa,dense_bge,evaluation,118,0.422591
llama3_2_3b,mol_instructions,biomedical_open_qa,dense_medcpt,discovery,132,0.423968
llama3_2_3b,mol_instructions,biomedical_open_qa,dense_medcpt,evaluation,118,0.437491
llama3_2_3b,mol_instructions,biomedical_open_qa,hybrid,discovery,132,0.42987
llama3_2_3b,mol_instructions,biomedical_open_qa,hybrid,evaluation,118,0.438101
llama3_2_3b,mol_instructions,biomedical_open_qa,kg,discovery,132,0.434408
llama3_2_3b,mol_instructions,biomedical_open_qa,kg,evaluation,118,0.441283
llama3_2_3b,mol_instructions,biomedical_open_qa,rerank,discovery,132,0.423983
llama3_2_3b,mol_instructions,biomedical_open_qa,rerank,evaluation,118,0.437436
llama3_2_3b,mol_instructions,biomedical_open_qa,rrf,discovery,132,0.433892
llama3_2_3b,mol_instructions,biomedical_open_qa,rrf,evaluation,118,0.442356
llama3_2_3b,mol_instructions,molecule_description,bm25,discovery,125,0.583285
llama3_2_3b,mol_instructions,molecule_description,bm25,evaluation,125,0.566001
llama3_2_3b,mol_instructions,molecule_description,dense_bge,discovery,125,0.58385
llama3_2_3b,mol_instructions,molecule_description,dense_bge,evaluation,125,0.569896
llama3_2_3b,mol_instructions,molecule_description,dense_medcpt,discovery,125,0.582994
llama3_2_3b,mol_instructions,molecule_description,dense_medcpt,evaluation,125,0.583378
llama3_2_3b,mol_instructions,molecule_description,hybrid,discovery,125,0.583363
llama3_2_3b,mol_instructions,molecule_description,hybrid,evaluation,125,0.570579
llama3_2_3b,mol_instructions,molecule_description,kg,discovery,125,0.604422
llama3_2_3b,mol_instructions,molecule_description,kg,evaluation,125,0.578827
llama3_2_3b,mol_instructions,molecule_description,rerank,discovery,125,0.561888
llama3_2_3b,mol_instructions,molecule_description,rerank,evaluation,125,0.552195
llama3_2_3b,mol_instructions,molecule_description,rrf,discovery,125,0.587045
llama3_2_3b,mol_instructions,molecule_description,rrf,evaluation,125,0.559741
llama3_2_3b,mol_instructions,molecule_design,bm25,discovery,135,0.0
llama3_2_3b,mol_instructions,molecule_design,bm25,evaluation,115,0.0
llama3_2_3b,mol_instructions,molecule_design,dense_bge,discovery,135,0.0
llama3_2_3b,mol_instructions,molecule_design,dense_bge,evaluation,115,0.0
llama3_2_3b,mol_instructions,molecule_design,dense_medcpt,discovery,135,0.0
llama3_2_3b,mol_instructions,molecule_design,dense_medcpt,evaluation,115,0.0
llama3_2_3b,mol_instructions,molecule_design,hybrid,discovery,135,0.0
llama3_2_3b,mol_instructions,molecule_design,hybrid,evaluation,115,0.0
llama3_2_3b,mol_instructions,molecule_design,kg,discovery,135,0.0
llama3_2_3b,mol_instructions,molecule_design,kg,evaluation,115,0.0
llama3_2_3b,mol_instructions,molecule_design,rerank,discovery,135,0.0
llama3_2_3b,mol_instructions,molecule_design,rerank,evaluation,115,0.0
llama3_2_3b,mol_instructions,molecule_design,rrf,discovery,135,0.0
llama3_2_3b,mol_instructions,molecule_design,rrf,evaluation,115,0.0
llama3_2_3b,mol_instructions,molecule_property,bm25,discovery,125,0.288
llama3_2_3b,mol_instructions,molecule_property,bm25,evaluation,125,0.232
llama3_2_3b,mol_instructions,molecule_property,dense_bge,discovery,125,0.216
llama3_2_3b,mol_instructions,molecule_property,dense_bge,evaluation,125,0.2
llama3_2_3b,mol_instructions,molecule_property,dense_medcpt,discovery,125,0.208
llama3_2_3b,mol_instructions,molecule_property,dense_medcpt,evaluation,125,0.232
llama3_2_3b,mol_instructions,molecule_property,hybrid,discovery,125,0.216
llama3_2_3b,mol_instructions,molecule_property,hybrid,evaluation,125,0.184
llama3_2_3b,mol_instructions,molecule_property,kg,discovery,125,0.296
llama3_2_3b,mol_instructions,molecule_property,kg,evaluation,125,0.24
llama3_2_3b,mol_instructions,molecule_property,rerank,discovery,125,0.256
llama3_2_3b,mol_instructions,molecule_property,rerank,evaluation,125,0.264
llama3_2_3b,mol_instructions,molecule_property,rrf,discovery,125,0.208
llama3_2_3b,mol_instructions,molecule_property,rrf,evaluation,125,0.208
qwen2_5_3b,fdarxbench,fda_factual,bm25,discovery,301,0.729385
qwen2_5_3b,fdarxbench,fda_factual,bm25,evaluation,277,0.737371
qwen2_5_3b,fdarxbench,fda_factual,dense_bge,discovery,301,0.739264
qwen2_5_3b,fdarxbench,fda_factual,dense_bge,evaluation,277,0.730264
qwen2_5_3b,fdarxbench,fda_factual,dense_medcpt,discovery,301,0.714986
qwen2_5_3b,fdarxbench,fda_factual,dense_medcpt,evaluation,277,0.738124
qwen2_5_3b,fdarxbench,fda_factual,hybrid,discovery,301,0.731304
qwen2_5_3b,fdarxbench,fda_factual,hybrid,evaluation,277,0.742462
qwen2_5_3b,fdarxbench,fda_factual,kg,discovery,301,0.723168
qwen2_5_3b,fdarxbench,fda_factual,kg,evaluation,277,0.744061
qwen2_5_3b,fdarxbench,fda_factual,rerank,discovery,301,0.72277
qwen2_5_3b,fdarxbench,fda_factual,rerank,evaluation,277,0.719872
qwen2_5_3b,fdarxbench,fda_factual,rrf,discovery,301,0.718731
qwen2_5_3b,fdarxbench,fda_factual,rrf,evaluation,277,0.727001
qwen2_5_3b,fdarxbench,fda_multihop,bm25,discovery,99,0.61949
